"Qty","Value","Device","Parts","Library","Description","DIGIKEY","MF","MINICIRCUITS","MPN","OC_FARNELL","OC_NEWARK",
"1","AD9910","AD9910","U1","Neal_DDS-library","AD9910 - Direct Digital Synthesizer.","AD9910BSVZ-REELCT-ND","","","","","",
"1","220 uF","CAP-POLPANASONIC_F","CP4","rlc-jqi","Polarized SMT Capacitor","PCE3955CT-ND","","","","","",
"1","10nF","CAP0603","C1","rlc-jqi","SMT Capacitor","490-1512-2-ND","","","","","",
"1","56nF","CAP0603","C2","rlc-jqi","SMT Capacitor","478-1236-1-ND","","","","","",
"3","0.01u","C_MLCC_SMDCMLCC_0204","CB2, CB3, CB4","jqi_passives","","478-5503-1-ND","","","","","",
"1","0.1u","C_MLCC_SMDCMLCC_0204","CXO","jqi_passives","","478-4624-1-ND","","","","","",
"22","0.1uF","C_MLCC_SMDCMLCC_0204","C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, CRFCL1, CRFCL2","jqi_passives","","478-4624-1-ND","","","","","",
"14","1uF","C_MLCC_SMDCMLCC_0306","C6, C69, CF2, CF3, CF5, CF6, CF8, CF9, CF11, CF12, CF13, CF14, CF16, CF17","jqi_passives","","C0816X5R0J105M050AC","","","","","",
"2","DNP","C_MLCC_SMDCMLCC_0402","CIN1, CIN2","jqi_passives","","","","","","","",
"1","0.01u","C_MLCC_SMDCMLCC_0603","CB1","jqi_passives","","399-1091-1-ND","","","","","",
"2","0.01uF","C_MLCC_SMDCMLCC_0603","CNR, CNR1","jqi_passives","","399-1091-1-ND","","","","","",
"6","10u","C_MLCC_SMDCMLCC_0612","CF1, CF4, CF7, CF10, CF15, CF18","jqi_passives","","445-4072-1-ND","","","","","",
"2","LFCN","LFCN","LP1, LP2","Neal_DDS-library","Low Pass Filter","","","LFCN-320D+","","","",
"7","BLM","L_FERRITE_SMDLFERRITE_0603","L1, L2, L3, L4, L5, L6, L7","jqi_passives","","490-5215-1-ND","","","","","",
"4","MIC5247","MIC5247","IC2, IC3, IC4, IC6","MojoDDS-library","MIC5247.","576-1288-1-ND","","","","","",
"1","","ML26","SV2","con-harting-ml","HARTING","S9173-ND","","","","unknown","unknown",
"1","","PINHD-1X2","JP1","pinhead","PIN HEADER","","","","","","",
"2","REG113","REG113","IC1, IC5","Neal_DDS-library","REG113.","REG113EA3.3/250CT-ND","","","","","",
"3","0","RES0402","R3, R6, R8","rlc-jqi","SMT Resistor","541-0.0YBCT-ND","","","","","",
"1","DNP (0)","RES0402","R7","rlc-jqi","SMT Resistor","541-0.0YBCT-ND","","","","","",
"1","143","RES0603","R2","rlc-jqi","SMT Resistor","RMCF0603FT140RCT-ND","","","","","",
"1","1k","RES0603","R5","rlc-jqi","SMT Resistor","311-1.0KGRCT-ND","","","","","",
"1","2k","RES0603","R4","rlc-jqi","SMT Resistor","P2.00KHCT-ND","","","","","",
"2","4.7k","R_SMDR0402","RPD1, RPD2","jqi_passives","","","","","","","",
"1","50","R_SMDR0402","RLOAD1","jqi_passives","","RR05R49.9DCT-ND ","","","","","",
"1","50","R_SMDR0402","RLOAD2","jqi_passives","","RR05R49.9DCT-ND","","","","","",
"1","10k","R_SMDR0603","RSET","jqi_passives","","311-10KGRCT-ND","","","","","",
"1","50","R_SMDR0603","R1","jqi_passives","","A110418CT-ND","","","","","",
"3","SMA","SMA","CLK, O+, O-","Neal_DDS-library","","","","","","","",
"1","TXC-7NXX.XXX","TXC-7NXX.XXX","XO","Neal_DDS-library","Precise SMD Temperature Compensated Crystal Oscillator.","887-2498-1-ND","","","","","",
"5","UMC","UMC","X1, X2, X3, X4, X5","connector-jqi","UMC "ultra-miniature" Coaxial connector.","","","","","","",
